Number,User,Date Submitted,Country,Device,Browser,OS,Ako ste spokojní s našimi Paušálmi Go na škále 1-5?,"Prosím, opíšte prečo. Je to pre nás veľmi dôležité."
111,0,18/03/2020 16:27,Slovakia,desktop,Edge 18.18362,Windows 10,,
112,0,18/03/2020 16:49,Slovakia,desktop,IE 11.0,Windows 7,2,"Slabá až žiadna starostlivosť o stáleho zákazníka (10rok+) 
Po skončení viazanosti drahšie a neaktualizované služby..."
113,0,18/03/2020 16:49,Slovakia,desktop,Maxthon 5.2.7,Windows 10,1,
114,0,18/03/2020 16:50,Slovakia,phone,Samsung Internet 11.1,Android,2,Je v nich málo dát.  Nechcem platiť viac než10€ a mal by som mať aspoň 3Giga
115,0,18/03/2020 16:52,Slovakia,desktop,Firefox 74.0,Windows 8.1,3,ako dlhorocny klient akonahle som presiel na nizsi program tak som stratil niektore benefity...
116,0,18/03/2020 16:53,Slovakia,desktop,Edge 18.18362,Windows 10,3,trochu viacej dat by bolo treba 
117,0,18/03/2020 16:55,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15.3,,
118,0,18/03/2020 17:01,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
119,0,18/03/2020 17:07,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
120,0,18/03/2020 17:09,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
121,0,18/03/2020 17:11,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
122,0,18/03/2020 17:18,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,
123,0,18/03/2020 17:33,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
124,0,18/03/2020 17:34,Slovakia,phone,Chrome Mobile 71.0.3578,Android,4,
125,0,18/03/2020 17:42,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
126,0,18/03/2020 17:44,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,5,Mám paušál a som spokojný zo službami 
127,0,18/03/2020 17:50,Slovakia,phone,Firefox Mobile 68.0,Android,5,"Za dobrú cenu dostatok voľných minút, dát.... "
128,0,18/03/2020 17:52,Slovakia,desktop,Firefox 74.0,Windows 10,3,
129,0,18/03/2020 17:58,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,"dobry den,
s pausalom nie som spokojna, nakolko platim dost vysoku sumu za to, ze kvôli slabeho signalu v nesej obci neviem volat ani internet nemam, iba ked mam wifi pristup a vyuzivam volanie cez wifi..  "
130,0,18/03/2020 18:08,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,1,
131,0,18/03/2020 18:15,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
132,0,18/03/2020 18:18,Slovakia,phone,Mobile Safari 13.1,iOS 13.4,5,Veľmi ste super a peroto som išla na 
133,0,18/03/2020 18:20,Slovakia,desktop,Firefox 74.0,Windows 10,5,"málo dát za veľa €
"
134,0,18/03/2020 18:44,United Kingdom,tablet,Chrome 80.0.3987,Android 7.0,,
135,0,18/03/2020 18:45,Slovakia,desktop,Edge 18.18362,Windows 10,,
136,0,18/03/2020 18:52,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,,
137,0,18/03/2020 18:52,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
138,0,18/03/2020 19:05,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
139,0,18/03/2020 19:13,Slovakia,desktop,Firefox 74.0,Windows 10,5,Dobry signal takmer vsade.
140,0,18/03/2020 19:17,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,1,Su dobry 
141,0,18/03/2020 19:30,Slovakia,desktop,IE 11.0,Windows 8.1,5,Vyhovuje mi
142,0,18/03/2020 19:41,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,
143,0,18/03/2020 19:43,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
144,0,18/03/2020 19:45,Slovakia,desktop,Edge 18.18362,Windows 10,3,
145,0,18/03/2020 20:10,Slovakia,phone,Samsung Internet 11.1,Android 8.0.0,3,Malo dat k pausalom GO (porovnanie oproti konkurencii).
146,0,18/03/2020 20:11,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
147,0,18/03/2020 20:22,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,Viac dať v mobile
148,0,18/03/2020 20:57,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
149,0,18/03/2020 21:06,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
150,0,18/03/2020 21:40,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
151,0,18/03/2020 21:49,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,"je Top. Som verný ešte od Čias keď bol Globtel. A ideme ďalej,, 🙂"
152,0,18/03/2020 22:29,Slovakia,phone,Firefox Mobile 68.0,Android,3,
153,0,18/03/2020 22:50,Slovakia,phone,Samsung Internet 10.2,Android,5,Ok
154,0,19/03/2020 00:30,Slovakia,phone,Chrome Mobile 75.0.3770,Android 7.1.1,5,
155,0,19/03/2020 00:31,Slovakia,phone,Chrome Mobile 71.0.3578,Android,4,Maly vyber z tel. Xiaomi
156,0,19/03/2020 00:52,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
157,0,19/03/2020 04:36,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
158,0,19/03/2020 04:51,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
159,0,19/03/2020 05:02,Slovakia,phone,Chrome Mobile WebView 44.0.2403,Android,4,
160,0,19/03/2020 05:11,Slovakia,phone,Chrome Mobile 74.0.3729,Android,3,"Stáli zákazníci, ktorí využívajú paušál nad 10 rokov majú mať veľkú úľavu, napr. kúpa celého mobilu, alebo neprevolane minúty, v ďalšom mesiaci opustená platba"
161,0,19/03/2020 05:14,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
162,0,19/03/2020 05:19,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,.
163,0,19/03/2020 05:32,Slovakia,desktop,Chrome 49.0.2623,Windows XP,4,"Akcia na paušal GO30 - zľava 50% na obdobie 1 a 1/2 roka- - pomer služby cena výborné.
Štandardná ponuka nezaujímavá. Identická s konkurenciou.
Práve mi končí od Vás akcia hľadám alternatívu."
164,0,19/03/2020 05:36,Czechia,desktop,Chrome 80.0.3987,Windows 10,5,Spoľahlivý operátor.
165,0,19/03/2020 05:38,Slovakia,phone,Chrome Mobile 80.0.3987,Android 6.0.1,,
166,0,19/03/2020 06:31,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
167,0,19/03/2020 06:46,Slovakia,tablet,Chrome 71.0.3578,Android 7.0,,
168,0,19/03/2020 06:49,Slovakia,phone,Chrome Mobile 80.0.3987,Android 4.4.4,,
169,0,19/03/2020 06:50,Slovakia,desktop,Chrome 80.0.3987,Windows 7,2,
170,0,19/03/2020 06:58,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
171,0,19/03/2020 07:23,Slovakia,phone,Firefox Mobile 68.0,Android,3,
172,0,19/03/2020 07:26,Slovakia,desktop,Firefox 74.0,Windows 7,,
173,0,19/03/2020 07:33,Slovakia,desktop,Firefox 68.0,Windows 10,1,nemam pausal Go
174,0,19/03/2020 07:46,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
175,0,19/03/2020 07:50,Slovakia,tablet,Chrome 80.0.3987,Android 4.4.4,3,"Cena za pausal, zlava pri prenose cisla iba 20 mesiacov, co by malo byt aspon 24 mesiacov"
176,0,19/03/2020 08:02,Slovakia,tablet,Chrome 77.0.3865,Android 7.0,5,
177,0,19/03/2020 08:26,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
178,0,19/03/2020 08:28,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,
179,0,19/03/2020 08:29,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
180,0,19/03/2020 08:31,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
181,0,19/03/2020 08:37,Slovakia,tablet,Mobile Safari 10.0,iOS 10.3.2,2,
182,0,19/03/2020 08:44,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.1.1,5,
183,0,19/03/2020 08:50,Slovakia,desktop,Firefox 74.0,Windows 10,,
184,0,19/03/2020 08:55,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
185,0,19/03/2020 09:01,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
186,0,19/03/2020 09:06,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
187,0,19/03/2020 09:06,Slovakia,phone,Chrome Mobile 80.0.3987,Android,4,Neobmedzené volania a sms do všetkých sietí. 
188,0,19/03/2020 09:18,Czechia,tablet,Chrome 78.0.3904,Android 7.0,1,
189,0,19/03/2020 09:22,Slovakia,desktop,Chrome 80.0.3987,Windows 7,2,"Dátová ponuka je slabá, uvažujem prechod ku konkurencii"
190,0,19/03/2020 09:22,Slovakia,phone,Chrome Mobile 74.0.3729,Android,5,
191,0,19/03/2020 09:26,Slovakia,phone,Chrome Mobile 80.0.3987,Android 4.4.2,5,Chcem bit vašim zakaznikom
192,0,19/03/2020 09:30,Slovakia,desktop,Firefox 74.0,Windows 10,4,málo dát
193,0,19/03/2020 09:38,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
194,0,19/03/2020 09:45,Slovakia,desktop,IE 11.0,Windows 10,3,
195,0,19/03/2020 09:46,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,,
196,0,19/03/2020 09:48,Slovakia,desktop,Opera 67.0.3575,Windows 10,,
197,0,19/03/2020 10:05,Slovakia,desktop,Firefox 74.0,Windows 8.1,3,
198,0,19/03/2020 10:12,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15,,
199,0,19/03/2020 10:18,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
200,0,19/03/2020 10:20,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
201,0,19/03/2020 10:44,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,"Postačuje mi Go 10 mám aj firemný mobil, hlavne mi vyhovuje, že mám na členov rodiny zadarmo"
202,0,19/03/2020 10:47,Slovakia,desktop,Chrome 80.0.3987,Windows 8,4,
203,0,19/03/2020 10:57,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,"20 rokov mam , ale nejaku extra vyhodu som nepocitil :-("
204,0,19/03/2020 10:59,Slovakia,phone,Facebook 262.0.0,Android,,
205,0,19/03/2020 11:06,Slovakia,desktop,Firefox 74.0,Windows 8.1,5,Neobmedzené volania a veľmi dobré dáta.
206,0,19/03/2020 11:14,Slovakia,desktop,Opera 67.0.3575,Windows 10,,
207,0,19/03/2020 11:40,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
208,0,19/03/2020 11:49,Slovakia,desktop,IE 11.0,Windows 10,3,napr pri pausale G0 velmi nizky objem dat
209,0,19/03/2020 11:52,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
210,0,19/03/2020 11:52,Slovakia,desktop,IE 11.0,Windows 10,5,
211,0,19/03/2020 11:58,Slovakia,desktop,Firefox 74.0,Windows 10,1,
212,0,19/03/2020 11:58,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
213,0,19/03/2020 12:35,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,konkurencia ponúka lacnejšie paušály
214,0,19/03/2020 12:42,Slovakia,phone,Samsung Internet 10.2,Android 6.0.1,4,
215,0,19/03/2020 12:42,Slovakia,desktop,Chrome 80.0.3987,Mac OS X 10.15.2,,
216,0,19/03/2020 12:45,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
217,0,19/03/2020 13:04,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
218,0,19/03/2020 13:06,Slovakia,phone,Samsung Internet 11.1,Android 7.0,3,
219,0,19/03/2020 13:13,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
220,0,19/03/2020 13:16,Slovakia,phone,Chrome Mobile 59.0.3071,Android 7.0,,
221,0,19/03/2020 13:25,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,
222,0,19/03/2020 13:27,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,"Dobrý deň mám paušál, za ktorý platím 36€. Dostala som ponuky od konkurenčných operátorov s rovnakými minútami, dátami za oveľa lepšiu cenu. "
223,0,19/03/2020 13:43,Slovakia,phone,Chrome Mobile 80.0.3987,Android 5.1.1,,
224,0,19/03/2020 13:43,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,3,
225,0,19/03/2020 13:51,Slovakia,desktop,Chrome 80.0.3987,Windows 8,,
226,0,19/03/2020 13:59,Germany,desktop,Chrome 79.0.3945,Windows 10,4,
227,0,19/03/2020 14:02,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
228,0,19/03/2020 14:20,Slovakia,desktop,Opera 67.0.3575,Windows 7,,
229,0,19/03/2020 14:23,Austria,phone,Chrome Mobile 80.0.3987,Android 7.1.1,4,
230,0,19/03/2020 14:23,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
231,0,19/03/2020 14:26,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
232,0,19/03/2020 14:29,Slovakia,phone,Chrome Mobile 74.0.3729,Android,,
233,0,19/03/2020 14:51,Slovakia,desktop,IE 11.0,Windows 10,,
234,0,19/03/2020 14:53,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
235,0,19/03/2020 15:08,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
236,0,19/03/2020 15:16,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
237,0,19/03/2020 15:24,Slovakia,desktop,Firefox 74.0,Windows 10,3,
238,0,19/03/2020 15:37,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,"Sme u vas cela rodina .Vyhovuju nam vase navzajom zadarmo a nekonecne volania.

"
239,0,19/03/2020 15:41,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
240,0,19/03/2020 15:43,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,Neviem si prikupit viac dat (napr 10GB) ak to jednorazovo potrebujem
241,0,19/03/2020 16:00,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,
242,0,19/03/2020 16:09,Slovakia,phone,Chrome Mobile 80.0.3987,Android 6.0,2,
243,0,19/03/2020 16:15,Slovakia,desktop,Firefox 74.0,Windows 10,4,
244,0,19/03/2020 16:17,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
245,0,19/03/2020 16:29,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
246,0,19/03/2020 16:55,Slovakia,desktop,Firefox 74.0,Windows 8.1,2,
247,0,19/03/2020 17:01,Slovakia,desktop,Safari 13.0.4,Mac OS X 10.15.2,4,Málo GB
248,0,19/03/2020 17:05,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
249,0,19/03/2020 17:07,Slovakia,desktop,Chrome 78.0.3904,Windows 8.1,4,
250,0,19/03/2020 17:22,Slovakia,tablet,Mobile Safari 9.0,iOS 9.3.5,3,
251,0,19/03/2020 17:26,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,"dobré volania, dobrý internet aj sms, proste super."
252,0,19/03/2020 17:44,Slovakia,phone,Samsung Internet 11.1,Android 6.0.1,,
253,0,19/03/2020 17:50,Slovakia,tablet,Chrome 80.0.3987,Android 7.1.1,,
254,0,19/03/2020 17:51,Slovakia,phone,Facebook 262.0.0,Android 8.0.0,,
255,0,19/03/2020 18:07,Czechia,desktop,Chrome 80.0.3987,Windows 10,,
